timestamp,cpu_percent,memory_percent,memory_available_mb,swap_percent,disk_percent,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb,process_count,load_avg_1min,load_avg_5min,load_avg_15min
1782467719,9.9,54.8,10969.4,0.0,95.1,1.85,0.0,0.01,0.03,261,0,0,0
1782467720,9.4,54.8,10971.74,0.0,95.1,0.42,1.12,0.01,0.01,261,0,0,0
1782467722,19.8,54.5,11046.11,0.0,95.1,0.39,0.25,0.0,0.0,267,0,0,0
1782467723,16.1,54.4,11072.56,0.0,95.1,1.92,2.44,0.0,0.0,261,0,0,0
1782467724,9.9,54.3,11076.29,0.0,95.1,0.87,0.0,0.0,0.0,261,0,0,0
1782467725,10.7,53.8,11218.49,0.0,95.1,3.22,0.29,0.02,0.0,261,0,0,0
1782467726,11.3,53.7,11223.34,0.0,95.1,1.11,2.56,0.0,0.0,261,0,0,0
1782467727,9.9,53.9,11195.75,0.0,95.1,3.38,0.44,0.01,0.0,261,0,0,0
1782467728,8.1,53.9,11189.7,0.0,95.1,0.68,0.14,0.0,0.0,261,0,0,0
1782467729,9.0,53.4,11297.11,0.0,95.1,0.75,0.28,0.0,0.0,260,0,0,0
1782467730,9.9,53.5,11288.97,0.0,95.1,0.94,0.31,0.0,0.0,260,0,0,0
1782467731,9.2,53.5,11275.84,0.0,95.1,0.64,0.41,0.0,0.0,260,0,0,0
1782467732,9.7,53.4,11295.35,0.0,95.1,0.59,0.15,0.0,0.0,260,0,0,0
1782467733,7.4,53.5,11292.97,0.0,95.1,0.54,0.22,0.0,0.0,260,0,0,0
1782467734,7.8,53.5,11282.11,0.0,95.1,1.39,0.91,0.0,0.0,260,0,0,0
1782467735,9.6,53.2,11353.18,0.0,95.1,0.5,0.27,0.0,0.01,260,0,0,0
1782467736,9.2,53.3,11341.75,0.0,95.1,1.31,0.03,0.01,0.03,260,0,0,0
1782467737,10.5,53.0,11413.08,0.0,95.1,0.73,0.26,0.0,0.0,260,0,0,0
1782467738,11.7,53.0,11413.57,0.0,95.1,0.7,1.94,0.0,0.0,260,0,0,0
1782467739,7.6,53.0,11403.54,0.0,95.1,1.08,0.14,0.0,0.0,260,0,0,0
1782467740,9.2,53.0,11392.88,0.0,95.1,0.4,0.02,0.0,0.0,260,0,0,0
1782467741,9.0,53.1,11388.41,0.0,95.1,1.25,0.12,0.0,0.0,261,0,0,0
1782467742,11.6,53.2,11361.97,0.0,95.1,1.22,0.73,0.0,0.0,261,0,0,0
1782467743,8.7,53.2,11355.21,0.0,95.1,1.39,0.25,0.0,0.0,261,0,0,0
1782467744,12.8,53.2,11346.59,0.0,95.1,1.14,0.09,0.0,0.0,261,0,0,0
1782467745,9.8,53.3,11341.15,0.0,95.1,0.99,1.46,0.0,0.0,261,0,0,0
1782467746,11.5,53.3,11334.12,0.0,95.1,1.37,0.05,0.0,0.0,261,0,0,0
1782467747,9.9,53.2,11346.95,0.0,95.1,1.03,0.08,0.0,0.0,261,0,0,0
1782467748,9.7,53.3,11337.77,0.0,95.1,0.97,0.14,0.0,0.0,261,0,0,0
1782467749,10.3,53.2,11343.76,0.0,95.1,0.96,0.29,0.0,0.0,261,0,0,0
